PLAZO,CAPITAL,INT CORRIENTE,DÍAS MORA,Cuotas en mora,ESTRATO,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,PERSONAS A CARGO,NUMERO DE HIJOS,NUM.CREDITOS SOLICITADOS,FECHA DESEMBOLSO,PRÓXIMA FECHA PAGO,TIPO EMPLEO,CIUDAD RESIDENCIA,TRABAJO,TIPO DE VIVIENDA,AÑOS EN LA VIVIENDA,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,TIPO DE VEHICULO,TIEMPO TRABAJO
30,250000,4692.5,2489,0,3.0,,,,0.0,0.0,1,6/16/2015,7/16/2015,Empleado,Agustin codazzi,Asistente de Calidad,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,Tres años
29,250000,4536.083333,2476,0,1.0,,,,0.0,0.0,1,6/10/2015,7/9/2015,Empleado,bogota,apoyo contratación,,mas de 5 años,Termino fijo,Mensual,,,Carro,2013-04-25
30,200000,3754.0,2472,1,1.0,,,,3.0,4.0,1,6/28/2016,7/28/2016,Empleado,puerto boyaca,cuñero de produccion,,entre uno y cinco años,Termino fijo,Quincenal,,,Ninguno,15meses
30,150000,2815.5,2472,0,3.0,,,,0.0,0.0,1,9/23/2015,10/23/2015,Empleado,cali,Contratista,,mas de 5 años,Indefinido,Mensual,,,Ninguno,23 meses
30,300000,5631.0,2470,1,3.0,,,,0.0,0.0,1,6/30/2016,7/30/2016,Empleado,Barranquilla,Jefe de Talento Humano,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,2
24,250000,3754.0,2465,1,3.0,2220000.0,600000.0,,,,1,7/11/2016,8/4/2016,Empleado,Bogota,Coordinador de Operaciones,Familiar,mas de 5 años,Indefinido,Quincenal,Soltero/a,Profesional,Moto,2018-05-08
30,250000,4692.5,2464,1,3.0,,,,1.0,1.0,1,7/6/2016,8/5/2016,Desempleado,Cali,,,entre uno y cinco años,,,,,Ninguno,
30,200000,3754.0,2464,1,2.0,1500000.0,300000.0,200000.0,1.0,3.0,1,7/6/2016,8/5/2016,Empleado,Barranquilla,Impulsa,,entre uno y cinco años,Indefinido,Mensual,,,Ninguno,18 diciembre 2017
30,300000,5631.0,2463,1,3.0,800000.0,600000.0,200000.0,2.0,2.0,1,7/7/2016,8/6/2016,Empleado,Bogota,Asistente Administativo,Familiar,mas de 5 años,Termino fijo,Mensual,Soltero/a,Profesional,Ninguno,2018-05-02
30,200000,3754.0,2462,1,2.0,1000000.0,400000.0,100000.0,2.0,2.0,1,7/8/2016,8/7/2016,Empleado,Bucaramanga,Asesor de call center,Arrendada,menos de un año,Indefinido,Quincenal,Unión Libre,Técnico,Ninguno,2018-01-19
19,300000,3566.3,2453,0,3.0,,,,1.0,0.0,1,6/12/2015,7/1/2015,Empleado,TABIO,AUXULIAR LOGISTICO,,menos de un año,Termino fijo,Quincenal,,,Ninguno,2 AÑOS
30,300000,5631.0,2436,1,2.0,2400000.0,1200000.0,,1.0,1.0,1,8/3/2016,9/2/2016,Empleado,Bogotá,Almacenista,Propia,entre uno y cinco años,Indefinido,Mensual,Soltero/a,No tengo,Ninguno,2018-02-01
28,100000,1751.866667,2434,0,3.0,,,,0.0,0.0,1,6/22/2015,7/20/2015,Empleado,medellin,docente,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,5años
30,230000,4317.1,2434,0,4.0,,,,0.0,0.0,1,4/18/2016,5/18/2016,Empleado,duitama,auxiliar,,mas de 5 años,Indefinido,Quincenal,,,Ninguno,12 años
30,350000,6569.5,2414,1,2.0,,,,1.0,0.0,1,8/25/2016,9/24/2016,Empleado,Fusagasuga,COORDINADOR QA,,entre uno y cinco años,Indefinido,Quincenal,,,Carro,9 meses
30,150000,2815.5,2400,1,2.0,,,,1.0,2.0,1,9/8/2016,10/8/2016,Empleado,Tulua,Operario de recoleccion,,entre uno y cinco años,Indefinido,Mensual,,,Moto,15 años
30,170000,3190.9,2394,0,3.0,,,,1.0,1.0,1,9/10/2015,10/10/2015,Empleado,bogota,vendedora,,entre uno y cinco años,Indefinido,Quincenal,,,Ninguno,6 meses
30,300000,5631.0,2392,1,2.0,1750000.0,1000000.0,,2.0,1.0,1,9/16/2016,10/16/2016,Empleado,Bogota,Secretaria,,mas de 5 años,Indefinido,Mensual,,,Ninguno,2012-08-06
30,200000,3754.0,2387,0,2.0,,,,0.0,0.0,1,7/9/2015,8/8/2015,Independiente,BOGOTA,GERENTE,,entre uno y cinco años,,,,,Ninguno,
30,150000,2815.5,2382,1,,,,,,,1,9/26/2016,10/26/2016,Empleado,bogota,,,,,,,,,
15,300000,2815.5,2375,1,2.0,,,,1.0,1.0,1,10/18/2016,11/2/2016,Empleado,bogota,patrullero,,entre uno y cinco años,Indefinido,Mensual,,,Ninguno,indefinido
