PLAZO,CAPITAL,INT CORRIENTE,FECHA DESEMBOLSO,PRÓXIMA FECHA PAGO,DÍAS MORA,Cuotas en mora,TIPO EMPLEO,CIUDAD RESIDENCIA,TRABAJO,TIPO DE VIVIENDA,ESTRATO,AÑOS EN LA VIVIENDA,INGRESOS MENSUALES,GASTOS MENSUALES,INGRESOS ADICIONALES,TIPO DE CONTRATO,PERIODO DE PAGO,ESTADO CIVIL,NIVEL EDUCATIVO,PERSONAS A CARGO,NUMERO DE HIJOS,TIPO DE VEHICULO,TIEMPO TRABAJO,NUM.CREDITOS SOLICITADOS,USUARIO RECURRENTE
30,300000,5631.0,7/7/2016,8/6/2016,2463,1,Empleado,Bogota,Asistente Administativo,Familiar,3.0,mas de 5 años,800000.0,600000.0,200000.0,Termino fijo,Mensual,Soltero/a,Profesional,2.0,2.0,Ninguno,2018-05-02,1,0
30,200000,3754.0,7/8/2016,8/7/2016,2462,1,Empleado,Bucaramanga,Asesor de call center,Arrendada,2.0,menos de un año,1000000.0,400000.0,100000.0,Indefinido,Quincenal,Unión Libre,Técnico,2.0,2.0,Ninguno,2018-01-19,1,0
19,300000,3566.3,6/12/2015,7/1/2015,2453,0,Empleado,TABIO,AUXULIAR LOGISTICO,,3.0,menos de un año,,,,Termino fijo,Quincenal,,,1.0,0.0,Ninguno,2 AÑOS,1,0
30,350000,6569.5,8/3/2016,9/2/2016,2436,1,,,,Familiar,,mas de 5 años,,,,,,,,,,,,1,0
30,300000,5631.0,8/3/2016,9/2/2016,2436,1,Empleado,Bogotá,Almacenista,Propia,2.0,entre uno y cinco años,2400000.0,1200000.0,,Indefinido,Mensual,Soltero/a,No tengo,1.0,1.0,Ninguno,2018-02-01,1,0
28,100000,1751.866667,6/22/2015,7/20/2015,2434,0,Empleado,medellin,docente,,3.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,5años,1,0
30,230000,4317.1,4/18/2016,5/18/2016,2434,0,Empleado,duitama,auxiliar,,4.0,mas de 5 años,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,12 años,1,0
30,350000,6569.5,8/25/2016,9/24/2016,2414,1,Empleado,Fusagasuga,COORDINADOR QA,,2.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,1.0,0.0,Carro,9 meses,1,0
30,150000,2815.5,9/8/2016,10/8/2016,2400,1,Empleado,Tulua,Operario de recoleccion,,2.0,entre uno y cinco años,,,,Indefinido,Mensual,,,1.0,2.0,Moto,15 años,1,0
30,170000,3190.9,9/10/2015,10/10/2015,2394,0,Empleado,bogota,vendedora,,3.0,entre uno y cinco años,,,,Indefinido,Quincenal,,,1.0,1.0,Ninguno,6 meses,1,0
30,300000,5631.0,9/16/2016,10/16/2016,2392,1,Empleado,Bogota,Secretaria,,2.0,mas de 5 años,1750000.0,1000000.0,,Indefinido,Mensual,,,2.0,1.0,Ninguno,2012-08-06,1,0
30,200000,3754.0,7/9/2015,8/8/2015,2387,0,Independiente,BOGOTA,GERENTE,,2.0,entre uno y cinco años,,,,,,,,0.0,0.0,Ninguno,,1,0
15,300000,2815.5,10/18/2016,11/2/2016,2375,1,Empleado,bogota,patrullero,,2.0,entre uno y cinco años,,,,Indefinido,Mensual,,,1.0,1.0,Ninguno,indefinido,1,0
30,350000,6569.5,10/13/2016,11/12/2016,2365,1,Empleado,Puerto tejada,Docente,,3.0,mas de 5 años,,,,Indefinido,Mensual,,,2.0,2.0,Ninguno,2018-11-11,1,0
30,250000,4692.5,10/13/2016,11/12/2016,2365,1,Empleado,"BOGOTÁ, D.C.",Director Comercial,Familiar,3.0,mas de 5 años,1650000.0,550000.0,100000.0,Indefinido,Mensual,Unión Libre,Tecnólogo,2.0,1.0,Ninguno,2016-05-11,1,0
30,300000,5631.0,10/18/2016,11/17/2016,2360,1,Empleado,Bogota,Ejecutivo de cuenta,Familiar,2.0,mas de 5 años,737000.0,400000.0,450000.0,Termino fijo,Quincenal,Unión Libre,Secundaria,3.0,3.0,Ninguno,5 meses,1,0
30,300000,5631.0,10/20/2016,11/19/2016,2358,1,Empleado,Madrid Cundinamarca,Operario ,Arrendada,3.0,entre uno y cinco años,1000000.0,600000.0,200000.0,Indefinido,Quincenal,Soltero/a,Secundaria,1.0,1.0,Ninguno,07/10/2015,1,0
30,200000,3754.0,10/20/2016,11/19/2016,2358,1,Empleado,Medellin,Asesor,,3.0,menos de un año,,,,Indefinido,Quincenal,,,0.0,0.0,Ninguno,1 año,1,0
